ID,latitud,longitd,municip,localdd,predio,causa,ecos,tipo,inicio,termino,renuevo,arboreo,arbustv,herbace,total,copa,dur,tempord,temp_yr,difftim,radio,pendint,altitud,CLAVE,TIPO_C,usv,dst_hrt,dist_gr,dist_vs,dist_rb,Prec,Tmin,Tmax,Prec30d,est,porc_copa,ROS_ha_day,N_inc,Rec_prom,N_fires_prom,Rec_area,Fr_yr
100-Ari-2005-05-05,19.00833333,-101.6486111,Ario de Rosales,La Yerbabuena,Co. Del Nopal,,,,05/05/2005,05/05/2005,2,0,10,0,12,NA,NA,lluvias,2005,1,195.44,89.57461548,2059,(A)C(w1)(w),Templado subhúmedo,Bosque de encino/veg secundaria herbácea,500.9704903,2048.154773,3799.181279,11859.09695,0,24.5,40,0,_16047,0,12,1,1,1,12,NA
1000-Los-2017-05-20,19.63938889,-102.44425,Los Reyes,C. I. Atapan,C. I. Atapan,Establecimiento de huertas,BPQ,Mixto,20/05/2017,20/05/2017,3,0,11,2.7,16.7,16.7,0.340277778,lluvias,2017,1,230.56,39.38767242,1521,(A)C(w1)(w),Templado subhúmedo,Bosque de pino/veg primaria,200.8120667,604.1273767,1670.255056,1711.280302,NA,NA,NA,NA,,0,16.7,37,19.5,19.5,414.82,2.8
1001-Los-2017-05-19,19.59211111,-102.3423611,Los Reyes,La Palma,La Palma,Rencillas,BPQ,Superficial,19/05/2017,21/05/2017,20,60,120,203,403,403,2.166666667,lluvias,2017,3,1132.6,31.62277603,2300,C(w2)(w),Templado subhúmedo,Bosque de pino/veg primaria,0,1120.734653,3352.430523,1060.242193,NA,NA,NA,NA,,14.89,134.3333,4,3.3,3.33,131.75,6.3
1002-Los-2017-05-28,19.60938889,-102.4624444,Los Reyes,Ejido Los Reyes,Ejido Los Reyes,Quema de esquilmos agrícolas,BP,Superficial,28/05/2017,28/05/2017,0,0,5,6,11,11,0.229166667,lluvias,2017,1,187.12,36.66666794,1554,(A)C(w1)(w),Templado subhúmedo,Bosque de pino/veg secundaria,2930.459887,1452.296499,912.4462454,775.9685938,NA,NA,NA,NA,,0,11,37,20,20,288.14,1.5
1003-Los-2017-12-05,19.61,-102.4577778,Los Reyes,Ejido Los Reyes,Ejido Los Reyes,Establecimiento de huertas,BPQ,Superficial,05/12/2017,05/12/2017,0,0,0,2.1,2.1,2.1,0.197916667,secas,2018,1,81.76,28.50438499,1636,(A)C(w1)(w),Templado subhúmedo,Bosque de pino/veg secundaria,2736.795879,1935.152825,1329.648998,1236.389491,NA,NA,NA,NA,,0,2.1,4,20.5,20.5,224.28,1.2
101-Ari-2005-05-02,19.08472222,-101.65,Ario de Rosales,El Durazno,MalPais Chuparrosa,,,,02/05/2005,02/05/2005,5,0,30,0,35,NA,NA,lluvias,2005,1,333.78,7.453559875,2072,(A)C(w2)(w),Templado subhúmedo,Bosque de encino/veg primaria arbórea,433.7877235,466.899533,1007.773379,3507.88836,0,7,27,0,_16515,0,35,3,2.7,2.67,24.94,1.5
1017-Vil-2001-04-13,19.34388889,-101.3186111,Villa Madero,MADERO,EL CRISTAL,,,,13/04/2001,13/04/2001,8,0,30,0,38,NA,NA,secas,2001,1,347.79,11.8438921,2381,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,2322.552144,931.8678379,3339.984489,2091.647614,0,17,35,0,_16109,0,38,1,1,1,38,NA
1018-Vil-2001-04-16,19.37138889,-101.2866667,Villa Madero,MADERO,TLACUACHE,,,,16/04/2001,16/04/2001,0,0,5,0,5,NA,NA,secas,2001,1,126.16,24.29563332,2179,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,127.5107268,801.6999626,1636.913519,1613.987761,0,19,36,0,_16109,0,5,1,1,1,5,NA
1019-Vil-2001-05-25,19.38333333,-101.0283333,Villa Madero,MADERO,SOLEDADITA,,,,25/05/2001,25/05/2001,2,0,5,0,7,NA,NA,lluvias,2001,1,149.27,19.7554493,2051,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,17800.39483,11865.8616,12155.65954,3437.44696,0,17,37,0,16109,0,7,1,1,1,7,NA
102-Ari-2005-05-06,19.1825,-101.8044444,Ario de Rosales,rancho nuevo,Los Olivos,,,,06/05/2005,06/05/2005,0,5,30,0,35,NA,NA,lluvias,2005,1,333.78,8.333333015,1217,Aw0(w),Cálido subhúmedo,Bosque Pino encino/veg primaria,685.3366952,361.8205381,294.8958818,1282.047907,0,14,43,6,_16012,14.29,35,4,3,3,15.95,5.7
1020-Vil-2002-03-23,19.37916667,-101.0061111,Villa Madero,Duraznito,Duraznito,,,,23/03/2002,23/03/2002,1,0,4,0,5,NA,NA,secas,2002,1,126.16,17.71690941,1821,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,20137.01981,9648.131863,9788.955906,2161.50288,0,18,39,0,16109,0,5,1,1,1,5,NA
1021-Vil-2002-04-08,19.43888889,-101.2611111,Villa Madero,Piedras Gordas,Piedras Gordas,,,,08/04/2002,08/04/2002,0,0,3,0,3,NA,NA,secas,2002,1,97.72,14.90711975,2113,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,175.8175681,185.5843942,3848.76923,2762.278082,0,NA,NA,0,16001,0,3,2,2,2,4,0.1
1022-Vil-2002-04-15,19.40555556,-101.2611111,Villa Madero,Acumbaro,El Santito,,,,15/04/2002,15/04/2002,0,0,2,0,2,NA,NA,secas,2002,1,79.79,32.51068115,2074,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,483.0755812,770.6795103,1933.305998,1782.832587,0,19,39,0,_16109,0,2,1,1,1,2,NA
1023-Vil-2002-04-15,19.41527778,-101.2972222,Villa Madero,Poruas,Poruas,,,,15/04/2002,15/04/2002,0,0,2,0,2,NA,NA,secas,2002,1,79.79,8.579691887,2182,C(w2)(w),Templado subhúmedo,Cultivo perenne,0,0,57.10998407,596.9948536,0,NA,NA,0,16001,0,2,1,1,1,2,NA
1024-Vil-2002-04-15,19.37083333,-101.2494444,Villa Madero,Los Lobos,Piedras Lisas,,,,15/04/2002,15/04/2002,0,0,1,0,1,NA,NA,secas,2002,1,56.42,7.453559875,1978,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg secundaria,0,0,31.29311089,1106.521227,0,19,39,0,_16109,0,1,1,1,1,1,NA
1025-Vil-2002-04-16,19.33611111,-101.2347222,Villa Madero,El Caracol,Barranca Los Caballos,,,,16/04/2002,16/04/2002,0,0,5,0,5,NA,NA,secas,2002,1,126.16,12.13351631,2055,C(w2)(w),Templado subhúmedo,Bosque de encino/veg secundaria herbácea,3654.671817,3972.177106,3841.157817,2445.014739,0,17,38,0,_16109,0,5,5,5,5,6.6,1
1026-Vil-2002-04-17,19.40555556,-101.2527778,Villa Madero,La Cienega,El Charco,,,,17/04/2002,17/04/2002,0,0,2,0,2,NA,NA,secas,2002,1,79.79,21.24591446,1941,C(w2)(w),Templado subhúmedo,Bosque Pino encino/veg primaria,809.8338286,681.5400782,2490.265223,2501.460504,0,18,39,0,_16109,0,2,1,1,1,2,NA
